system_id,artTitle,artUrl,artDate,artCatagory,artContent,dataSource
1,以色列空襲回擊哈瑪斯！總理宣布戰爭狀態 喊話：敵人將付出代價｜東森新聞,https://news.ebc.net.tw/news/article/385783,10/7/2023 18:49,國際,法新社記者報導，以色列軍隊今天已對加薩走廊發動至少2次空襲。在此之前，哈瑪斯集團從加薩走廊向以色列發射大量火箭。以色列總理尼坦雅胡表示，以色列正處於戰爭。英國廣播公司新聞網（BBCNews）引述路透社報導，以色列總理尼坦雅胡（BenjaminNetanyahu）在社群平台X發表影片聲明表示，以色列正處於戰爭，並表示「我們會贏」。他說：「我們的敵人將付出前所未有的代價。」控制加薩走廊（GazaStrip）的巴勒斯坦武裝組織哈瑪斯集團（Hamas）表示，迄今已有超過5000枚火箭從這個被封鎖的沿岸飛地發射。醫護人員表示，火箭攻擊至少造成一名60多歲的以色列女子喪生。美國有線電視新聞網（CNN）報導，根據2家醫院提供的數據，以色列全國至少有100人因為加薩走廊武裝分子的襲擊而受傷。索羅卡醫學中心（SorokaMedicalCenter）在聲明中表示，已有至少80名傷勢嚴重程度不一的患者被送到該醫院。索羅卡醫療中心是以色列南部城市俾什巴（Beersheva）的主要醫療中心。以色列中部城市雷荷屋（Rehovot）的凱普蘭醫學中心（KaplanMedicalCenter）表示，正在治療今天受傷的至少21名傷者，其中2人傷勢嚴重、4人傷勢中等、另外15人傷勢較輕。凱普蘭醫學中心提到，一些傷者受到槍傷，另外一些則被彈片擊中。,EBC
2,槍手滲透城鎮！以色列遭哈瑪斯火箭猛襲 至少22死、數百傷｜東森新聞,https://news.ebc.net.tw/news/article/385785,10/7/2023 19:20,國際,伊斯蘭主義運動組織「哈瑪斯」今天對以色列發動近年規模最大突襲，除有槍手滲透到以色列城鎮，還在加薩走廊一帶展開一波波火箭攻擊，已造成逾20人死亡、數百人受傷。路透社報導，以色列當局表示，巴勒斯坦武裝組織哈瑪斯（Hamas）已向以色列宣戰，以國軍方證實與武裝分子在鄰近加薩走廊（GazaStrip）的數個以色列城鎮及軍營對戰。以色列總理尼坦雅胡（BenjaminNetanyahu）矢言報復。「我們的敵人將付出前所未有的代價」，尼坦雅胡表示：「我們正處於戰爭且將會打勝仗」。以色列救護單位指出，截至目前，這波攻擊造成至少22名以色列民眾喪生，逾250人受傷，預期傷亡人數將持續增加。以色列軍方表示，已對加薩走廊發動空襲；目擊者指稱聽到巨大爆炸聲響，至少2人死亡。,EBC
3,哈瑪斯突襲以色列至少22死數百傷 外交部回應了｜東森新聞,https://news.ebc.net.tw/news/article/385796,10/7/2023 20:05,國際,伊斯蘭主義運動組織「哈瑪斯」（Hamas）對以色列發動突襲，外交部今天表示，經駐以色列代表處聯繫了解，目前駐處員眷及台灣旅以台僑或民眾均安，駐處將持續密切關注相關情勢發展。外交部晚間發布新聞稿表示，巴勒斯坦武裝組織哈馬斯今天凌晨自加薩地區向以色列發射多枚火箭，並有多名哈瑪斯武裝份子進入以色列境內對民眾發動隨機攻擊，目前已知造成多人傷亡。外交部指出，嚴正譴責哈馬斯對以色列平民進行恐怖暴力攻擊，造成無辜民眾傷亡；外交部亞西及非洲司司長賀忠義大使已於第一時間代表外交部長吳釗燮，向駐台北以色列經濟文化辦事處代表游瑪雅（MayaYaron）表達台灣慰問之意，外交部將持續與理念相近國家合作，共同抵抗一切形式的恐怖主義攻擊行動。外交部也進一步說明，經台灣駐以色列代表處聯繫了解，目前駐處員眷及台灣旅以台僑或民眾均安，駐處將持續密切關注相關情勢發展。外交部提醒，由於近期以巴緊張情勢升高，外交部籲請近期規劃或正在以色列從事商旅活動的民眾務必提高警覺，注意自身安全。民眾在以色列如果遇到急難或緊急事故，請撥打台灣駐以色列代表處急難救助電話：+972-544-275-204；或撥打外交部「旅外國人緊急服務專線」：＋886-800-085-095，以獲得即時協助。,EBC
4,以色列爆戰爭！哈瑪斯5千火箭狂轟 17人台灣旅行團受困當地｜東森新聞,https://news.ebc.net.tw/news/article/385802,10/7/2023 20:36,國際,伊斯蘭主義運動組織「哈瑪斯」今（7）日對以色列展開攻擊，發射5000枚火箭，而以色列總理也證實他們正處於戰爭狀態，並表示他們會拿下勝利。而戰事目前也傳至少22人死亡、數百人受傷，據了解，有來自台灣的旅行團在當地旅遊，情況也讓人感到十分焦急。根據TVBS新聞網報導，有一團來自台灣的17人旅行團在當地旅遊，且同班機至少包含3至5個旅團。甚至有旅客透露，目前行程皆取消，相關旅遊景點也關閉，他們只能待在飯店內無法外出，而在以色列的台人確切人數尚有待統計。對此，外交部也指出，國人在以色列如果遇到急難或緊急事故，請撥打我國駐以色列代表處急難救助電話：+972-544-275-204；或撥打外交部「旅外國人緊急服務專線」：＋886-800-085-095，以獲得及時協助。同時也呼籲近期擬前往以色列及巴勒斯坦地區的國人，注意當地情勢發展，正在以色列從事商旅活動的國人務必提高警覺，注意自身安全。,EBC
5,以巴衝突增至232死 以國22地點爆激戰｜東森新聞,https://news.ebc.net.tw/news/article/385820,10/8/2023 8:35,國際,巴勒斯坦伊斯蘭主義團體「哈瑪斯」對以色列發動大規模攻擊，以方隨後展開反擊。根據加薩走廊（GazaStrip）衛生部，當地的死亡人數已上升至232人。法新社報導，哈瑪斯（Hamas）的衛生部門透過聲明表示，「加薩地帶的醫院迄今已收治232名烈士和1697名因以色列侵略受傷的人。」以國軍方則表示，目前正在以國境內的22個地點與「數百名」巴勒斯坦武裝份子作戰。以色列軍方發言人赫克特（RichardHecht）告訴媒體記者，「目前我們仍在22個地點，從海上、陸地和空中，與滲透進入以色列的恐怖分子交戰」。他還說，哈瑪斯的攻勢包括「猛烈的地面入侵」。被問及有多少武裝分子入侵以色列時，赫克特回答，已有「數百人」入侵該國，正在以國境內與軍隊作戰。他還說，尼格夫沙漠（NegevDesert）的2個以色列社區有「嚴重的人質劫持」情況。,EBC
6,「台灣5團124人」在以色列！外交部：旅客、台僑都平安｜東森新聞,https://news.ebc.net.tw/news/article/385829,10/8/2023 10:19,國際,以巴局勢急轉直下！巴勒斯坦激進組織「哈瑪斯」，對以色列發動史無前例的多戰線突襲。台灣目前有5個旅行團124人還在當地。對此，台灣外交部7號晚間表示，經台灣駐以色列代表處聯繫了解後，目前確認所有駐處員眷及台灣旅行團、僑民都平安。以色列境內濃濃黑煙直竄天際，7號清晨伊斯蘭激進組織哈瑪斯發射5千枚火箭彈攻擊，造成以色列至少百人死亡，千人輕重傷。根據了解，台灣有5個旅行團，124人還在當地。交通部觀光署指出，雄獅旅行社依原訂行程，在8號下午搭機返台；永信旅行社將取消部分行程，儘速安排旅客提前返國；其他旅行團行程，安排的景點主要在以色列北部，離南部戰爭處遙遠，目前行程都沒受影響，旅客一切平安。對此外交部7號也表示，目前確認，所有駐外人員眷屬及台僑、旅客都平安，未來會繼續密切關注局勢進展，也呼籲正在以色列從事商旅活動的國人，務必提高警覺，注意自身安全。,EBC
7,哈馬斯5千火箭彈發動襲擊「以色列備戰」 你要知道的幾件事｜東森新聞,https://news.ebc.net.tw/news/article/385835,10/8/2023 11:08,國際,"巴勒斯坦激進武裝組織哈馬斯（Hamas）於7日對以色列首都特拉維夫在內的多個城市發動突襲，過程中至少發射5千枚火箭彈，造成數百名以色列人死亡。而以色列總理納坦雅胡（BenjaminNetanyahu）也因此揚言要發動致命性的報復空襲，不僅國防軍（IDF）關閉加薩邊境。以色列甚至因此啟動緊急備戰狀態，雙方也爆發激烈的衝突。以下就是CTWANT整理外媒CNN、美聯社的報導，整理有關這場衝突的相關資訊，方便讀者一次瞭解。哈馬斯組織於7日在毫無預警的情況下，同時從海陸空三個路線對以色列發出突襲，哈馬斯的士兵甚至使用滑翔傘入侵，也同時炸毀了加薩邊界以色列社區的高牆，進入社區內與居民、士兵交火。以色列國防軍（IDF）表示，哈馬斯向以色列發射了約2200枚火箭彈，哈馬斯方面則表示至少發射了5千枚火箭彈攻擊以色列。哈馬斯的軍事指揮官穆罕默德·阿爾-迪夫稱這次行動為「Al-AqsaStorm」，並表示進攻以色列是為了回應對婦女的攻擊，褻瀆位於耶路撒冷的阿克薩清真寺和持續對加薩的封鎖。哈馬斯（Hamas）是一個1987年成立的伊斯蘭組織，它起源於穆斯林兄弟會，這是一個在20世紀20年代後期在埃及成立的遜尼伊斯蘭組織。哈馬斯一詞全名為「HarakatAl-MuqawamaAl-Islamia」，阿拉伯語的伊斯蘭抵抗運動。該組織像大多數巴勒斯坦派別和政黨一樣，堅持認為以色列是一個佔領勢力，並且試圖解放巴勒斯坦領土。它認為以色列是一個非法國家。其實在此之前，哈馬斯就對以色列發動了許多攻擊，並被美國、歐盟和以色列列為恐怖組織。哈馬斯的目的就是解放以色列佔領下的巴勒斯坦，其範圍也包含如今的以色列領土、約旦河西岸和加薩走廊。哈馬斯的目的就是要建立一個伊斯蘭國家。哈馬斯的附屬武裝「卡桑旅」曾多次對以色列的平民及軍事目標發動攻擊，1993年至2006年間還發生了多起自殺式襲擊。針對軍事目標的襲擊則包括小型武器射擊、火箭炮和迫擊炮襲擊等。以色列在1967年的戰爭中從埃及那裡奪取了加薩，在2005年撤出。該地區擁有約200萬巴勒斯坦人，後來在哈馬斯與與巴勒斯坦當權者的內鬥下，該地區於2007年落入哈馬斯的控制。在哈馬斯奪取加薩的控制權後，以色列和埃及就對該地區實施了嚴格的封鎖，以色列還對加薩實施了空中和海上封鎖。而這次發動衝突的原因，哈馬斯曾列出了一系列長期的緊張因素，其中包括阿克薩（Al-Aqsa）清真寺的敏感問題。哈馬斯的軍事指揮官穆罕默德·阿爾-迪夫稱這次行動為「Al-AqsaStorm」，並表示進攻以色列是為了回應對婦女的攻擊，褻瀆位於耶路撒冷的阿克薩清真寺和持續對加薩的封鎖。阿克薩清真寺是伊斯蘭教和猶太教最受尊崇的地方之一。這片神聖的土地，被穆斯林稱為AlHaramAlSharif（NobleSanctuary），被猶太人稱為TempleMount，數十年來一直是以色列和巴勒斯坦之間緊張關係的爆發點。穆斯林普遍認為，該地神慎不可侵犯，但該地點近年來持續受到極右翼猶太運動與以色列的極右翼政府的威脅。在此之前，哈馬斯和以色列之間的最後一次戰爭是在2021年，持續了11天，至少在哈瑪斯方面陣亡250人，以色列方面陣亡13人。以色列啟動了「OperationSwordsofIron」行動，打擊了加薩地帶的多個目標。內塔尼亞胡說，以色列對哈馬斯的入侵將從激進組織中「索取巨大的代價」。IDF表示，截至7日中午，以色列當地至少有7個地點正在進行地面戰鬥。以色列國防部也召集數萬以色列預備役軍人，更表示「到這一天結束時，以色列將不再有活的恐怖分子」。以色列的Zaka救援組織表示，在南部地區有至少200人喪生，且有超過1,100人受傷。而在以色列的報復下，加薩地帶至少有198人死亡，另有至少1,610人受傷。過去以色列人民認為，以色列政府的情報系統會預知攻擊事件，但這起攻擊事件證明，以色列政府無法預測哈馬斯的攻擊，這也對現在執政的納坦雅胡政府帶來考驗。以色列其實過往也與黎巴嫩、敘利亞等國家交惡。為了避免在應對哈馬斯之時，遭到黎巴嫩或敘利亞的攻擊，以色列政府表示已經在北方「做好準備」。文章來源：哈馬斯5千火箭彈發動襲擊「以色列備戰」你要知道的幾件事由CTWANT授權轉載。",EBC
8,哈瑪斯突襲以色列釀數百死 多國發聲挺以色列｜東森新聞,https://news.ebc.net.tw/news/article/385854,10/8/2023 14:20,國際,巴勒斯坦激進武裝組織「哈瑪斯」突襲以色列，造成數百人死亡，消息傳出後，多國發聲力挺以色列，包含美國總統拜登，第一時間就與以色列總理納坦雅胡通話，並譴責哈瑪斯恐怖份子的行徑，還強調會給予以色列「一切適當的援助手段」。而同一時間，包含德國、英國、澳洲以及歐盟，也同聲譴責哈瑪斯，並表示以色列有「自我防衛」的權力。一發接著一發的攻擊，到了晚上還不停手，巴勒斯坦激進武裝組織哈瑪斯7日對以色列首都特拉維夫在內的多個城市發動突襲，過程中至少發射5千枚火箭彈，造成數百名以色列人死亡，許多國家也對這場突發的攻擊做出回應。美國總統拜登：「今天以色列人民正受到恐怖組織哈瑪斯精心策劃的攻擊，在這個悲劇時刻，我想對他們、對世界，和世界各地的恐怖分子說，美國與以色列站在一起。」除了在記者會提及，他也表示已經跟以色列總理納坦雅胡通話，強調美國準備提供所有適當的支援方式。全身顫抖，以色列居民親眼目睹原本平靜的家園被轟炸，握著手機和家人朋友聯絡，深怕是最後一次與他們通話。得知以色列遭受襲擊，德國外交部長貝爾伯克、英國外交大臣柯維立，甚至歐洲聯盟執行委員會主席范德賴恩，都憤而譴責哈瑪斯破壞和平，強調與以色列站在一起。歐盟執行委員會主席范德賴恩：「我以最強烈的措辭譴責，哈瑪斯對以色列發動的毫無意義的襲擊，歐盟與以色列站在一起。不過強烈譴責下，土耳其也怕緊張局勢再升溫。土耳其總統艾爾段：「鑑於今天上午以色列事態的發展，土耳其呼籲各方保持克制，避免採取導致，緊張局勢升級的衝動舉措。」據CNN報導，現在哈瑪斯在加薩的發射場，要針對以色列的網路進行攻擊，以色列正在建立網路防禦，來應對不讓國家斷訊，造成更大傷害，以色列總理納坦雅胡也表示已經下令廣泛動員預備隊，會以敵人未知的規模進行還擊。,EBC
9,哈瑪斯5000枚火箭襲 以色列以軍飛彈反擊畫面曝｜東森新聞,https://news.ebc.net.tw/news/article/385856,10/8/2023 14:20,國際,好幾聲爆炸聲響起，民宅大樓應聲而倒，爆出火光，但是飛彈攻擊沒有停歇。巴勒斯坦激進組織哈瑪斯7日對以色列發動攻擊，從加薩走廊地區發射5000枚火箭，以色列拉響戰爭狀態警報，立刻展開反擊。以色列總理納坦雅胡：「我們正處於戰爭當中，這不是一場軍事行動，也不是衝突升級而是一場戰爭。」哈瑪斯發射火箭後，士兵趁亂攻擊入侵以色列領土，隨機攻擊平民百姓，雖然具體傷亡人數還不清楚，但以色列當局指出，至少已經有300人喪命，公路上隨處可見屍體，說是橫屍遍野一點都不誇張。以色列國防軍發言人赫克特：「哈瑪斯從陸海空三方聯合進攻，規模還不清楚，但十分浩大，今早狀況很嚴峻，我們現在的重點是把部隊派遣到戰區。」哈瑪斯士兵甚至從街上隨機擄人，男女都不放過，要把這些人當人質。古里安國際機場空襲警報響起，民眾雙手抱頭趴臥在地上。CNN記者尼克·羅伯森：「你可以聽到防空飛彈，攔截爆炸後的聲音，這附近沒有飛彈。」CNN記者連線到一半，背後傳來民眾啜泣聲。CNN記者尼克·羅伯森：「很多人擔心，不知道今晚會發生什麼。」情緒潰堤大哭，老百姓不知所措，面對戰爭，這一晚誰都睡不好覺。,EBC
10,最糟糕的情況！黎巴嫩發動炮擊 以色列國防軍正式反擊｜東森新聞,https://news.ebc.net.tw/news/article/385872,10/8/2023 15:10,國際,巴勒斯坦激進武裝組織哈馬斯（Hamas），於7日從海陸空三路對以色列首都「特拉維夫」在內的多個城市發動突襲，以色列也隨即發動「鐵劍行動」派出「戰機」轟炸哈馬斯掌管的加薩走廊。而現在有消息指出，長期與以色列交惡的「黎巴嫩」也在稍早時間炮擊以色列，目前以色列國防軍已經正式展開反擊。綜合外媒報導指出，黎巴嫩的砲擊彈著點是在以黎邊境的多夫山（MountDov）地區。雖然目前尚不清楚黎巴嫩是發射何種彈種，但以色列軍方認為，黎巴嫩發射的應該是火箭炮與迫擊砲，目的是要摧毀該地區的遠程雷達裝置。炮擊事件發生後，以色列軍方發表聲明表示，過去就一直針對「這種可能性」進行準備，會在必要的時候，在所有地區展開行動，以此來保護以色列平民的安全。事實上，在哈馬斯的攻擊行動發生前，以色列軍方已經調派軍力到以黎邊境駐守。黎巴嫩哈馬斯領導人哈姆丹（OsamaHamdan）也向媒體表示，哈馬斯在7日的行動已經向中東國家證明，接受以色列的安全條件並不會換來和平的機會。據了解，以色列長期以來與周邊國家交惡，過去甚至曾於2006年與黎巴嫩發生衝突。而主要原因是源自於1978年，以色列曾派兵侵略黎巴嫩，並且佔領黎巴嫩南部地區。雖然聯合國要求以色列即刻取消軍事行動。雖然當時以色列遵照決議撤退，但是在1982年6月以色列以逐出巴勒斯坦解放組織為由，又再次派兵侵略黎巴嫩，並且佔領黎巴嫩南部地區長達18年之久。,EBC
