system_id,sentence
1,原文標題元大
1,臺灣價值
1,高息准募展開募集
1,原文連結
1,///
1,發布時間
1,記者署名工商時報陳昱光
1,原文內容
1,元大投信日取得證交所同意募集元大臺灣價值高息證券投資信託基金，將
1,於月日展開募集
1,國內發行龍頭元大投信，具備業界指標級發行經驗，針對市場趨勢與產品
1,差異性，再推出首檔結合巴菲特價值投資，以及月配息設計與元親民發行價的高股息
1,元大臺灣價值高息將於月日展開募集
1,元大投信發行經驗超過年，旗下擁有包括國內首檔國內首檔高股息
1,的多檔千億級，至今年月日資產管理規模達兆，為市場第，本次推
1,出元大臺灣價值高息是繼年發行元大台灣高息低波年發行元大臺
1,灣永續本基金之配息來源可能為收益平準金後，再次募集台股
1,針對高股息市場蓬勃發展，存投資人數直線攀升，元大投信針對產品差異性，將
1,核心投資策略獨家納入巴菲特價值投資指標，相對於追逐股價動能，或是頻繁交換
1,投資風格，在凸顯高股息特色的同時，亦專注於優質股票的長期評價走揚潛力，
1,年兩次成分股調整均聚焦價值投資，全天候參與股息收益與資產增長
1,追蹤指數以上市櫃前大企業為選股池，且每年月初與月初即定期審核成分股
1,，面對資金籌碼集中趨勢，提前卡位下階段極具價值投資的標的，在經過流動性
1,本益比等指標篩選後，再依照巴菲特價值投資指標核心的自由現金流量進行選股
1,元大投信指出，自由現金流強勁的企業代表經營穩定，有足夠的現金可以用來發放股利，
1,或是資本支出擴展營運規模
1,根據臺灣指數公司數據，臺灣價值高息指數自年以來，
1,過去五年平均殖利率達，年更高達
1,元大投信指出，除具備價值投資特色，追求高值成分股標的，月配息加上發行價
1,元設計，更追求讓新進小資族能夠執行低價買輕鬆存每月領的無壓力投資哲學
1,元大投信提醒，選擇高股息時，除應注意配息率是否與標的指數息率差異太大，可能
1,使長期績效落後標的指數，參加配息時也要留意配息率不代表報酬率，所領到的企
1,業所發放股利，均計算於每日淨值之內，無論是否配出均屬於投資人權益，配息金額會自
1,淨值扣除，宜併留意淨值之變動
1,心得/評論
1,///
1,台灣價值
1,元銅板價月月配，少年股神
1,還在籌錢參加的募集，已上線
2,原文標題
2,元大加入月配息戰場
2,發行價元有收益平準金月號募集
2,原文連結
2,//////
2,發布時間
2,聯合新聞網綜合報導
2,記者署名
2,原文內容
2,國內發行龍頭元大投信，具備業界指標級發行經驗，針對市場趨勢與產品
2,差異性，再推出首檔結合巴菲特價值投資，以及月配息設計與元親民發行價的高股息
2,元大臺灣價值高息，將於月日展開募集
2,元大投信發行經驗超過年，旗下擁有包括國內首檔國內首檔高股息
