system_id,sentence
1,原文標題
1,元大加入月配息戰場
1,發行價元有收益平準金月號募集
1,原文連結
1,//////
1,發布時間
1,聯合新聞網綜合報導
1,記者署名
1,原文內容
1,國內發行龍頭元大投信，具備業界指標級發行經驗，針對市場趨勢與產品
1,差異性，再推出首檔結合巴菲特價值投資，以及月配息設計與元親民發行價的高股息
1,元大臺灣價值高息，將於月日展開募集
1,元大投信發行經驗超過年，旗下擁有包括國內首檔國內首檔高股息
1,的多檔千億級，至今年月日資產管理規模達兆，為市場第，本次推
1,出元大臺灣價值高息是繼年發行元大台灣高息低波本基金之
1,配息來源可能為收益平準金年發行元大臺灣永續本基金之配息來源
1,可能為收益平準金後，再次募集台股
1,針對高股息市場蓬勃發展，存投資人數直線攀升，元大投信針對產品差異性，將
1,核心投資策略獨家納入巴菲特價值投資指標，相對於追逐股價動能，或是頻繁交換
1,投資風格，在凸顯高股息特色的同時，亦專注於優質股票的長期評價走揚潛力，
1,年兩次成分股調整均聚焦價值投資，全天候參與股息收益與資產增長
1,追蹤指數以上市櫃前大企業為選股池，且每年月初與月初即定期審核成分股
1,，面對資金籌碼集中趨勢，提前卡位下階段極具價值投資的標的，在經過流動性
1,本益比等指標篩選後，再依照巴菲特價值投資指標核心的自由現金流量進行選股
1,元大
1,投信指出，自由現金流強勁的企業代表經營穩定，有足夠的現金可以用來發放股利，或是
1,資本支出擴展營運規模
1,根據臺灣指數公司數據，臺灣價值高息指數自年以來，過去
1,五年平均殖利率達，年更高達
1,元大投信指出，除具備價值投資特色，追求高值成分股標的，月配息加上發行價
1,元設計，更追求讓新進小資族能夠執行低價買輕鬆存每月領的無壓力投資哲學
1,元大投信提醒，選擇高股息時，除應注意配息率是否與標的指數息率差異太大，可能
1,使長期績效落後標的指數，參加配息時也要留意配息率不代表報酬率，所領到的企
1,業所發放股利，均計算於每日淨值之內，無論是否配出均屬於投資人權益，配息金額會自
1,淨值扣除，宜併留意淨值之變動
1,心得/評論
1,券商龍頭元大投信也加入戰場囉
1,發行價元小資族也能輕鬆存
1,選股邏輯都大同小異科技股為主
1,月初領息
1,月中領息
1,月底領息
1,週週領息不是夢
1,來去準備申購囉~
2,外資
2,排行股票名稱百萬收盤價漲跌
2,台積電
2,長榮
2,奇鋐
2,文曄
2,廣達
2,世芯
2,台達電
2,中信金
2,技嘉
2,祥碩
2,資料來源
2,///
2,投信
2,排行股票名稱百萬收盤價漲跌
2,新日興
2,元太
2,祥碩
2,華城
2,亞德客
2,力旺
2,家登
2,弘塑
2,緯穎
2,健鼎
2,資料來源
2,///
2,以上謝謝
3,原文標題
3,獲利翻逾倍史上首次發放股息盤後股價飆超
3,原文連結
3,///
3,發布時間
3,//
3,記者署名
3,鉅亨網編譯羅昀玫
3,原文內容
3,由於廣告業務增速勝過對手，社群網站龍頭週四日宣布去
3,年第四季獲利翻逾倍，加上本季營收成長預測超出華爾街預期，公告史上
3,首次發放股
3,息
3,，以及
3,額外億美元的庫藏股計畫
3,，市場反應歡聲雷動，推動盤後股價飆升
3,超
3,華爾街預測
3,營收預測億美元億美元
3,整體支出預測億美元億美元
3,執行長祖克伯在聲明中說我們度過了不錯的季，我們的
3,社區和業務繼續成長
3,我們在推動人工智慧和元宇宙願景方面取得很大的進展
3,廣告業務的成長速度超過了競爭對手
3,祖克柏表示，這是因為應用於增
3,強廣告活動並增加廣告收入，並支援聊天機器人等新的產品，
